2018-07-16T07:48:44Z, 60, NWL, Adjust, 73
2018-08-13T02:22:44Z, 58, NTP, Adjust, -20
2018-08-13T03:31:04Z, 59, NTP, Adjust, -20
2018-08-13T04:05:10Z, 59, NTP, Adjust, -15
2018-08-13T05:47:38Z, 58, NTP, Adjust, -15
2018-08-13T06:55:49Z, 58, NTP, Adjust, -5
2018-08-13T11:29:01Z, 58, NTP, Adjust, 20
2018-08-13T13:45:27Z, 59, NTP, Adjust, 5
2018-08-13T16:02:02Z, 59, NTP, Adjust, 15
2018-08-13T22:51:35Z, 60, NTP, Adjust, -5
2018-08-14T03:24:41Z, 59, NTP, Adjust, -10
2018-08-14T08:14:50Z, 59, NTP, Adjust, -5
2018-08-14T12:30:48Z, 58, NTP, Adjust, 5
2018-08-15T02:10:01Z, 58, NTP, Adjust, 5
2018-08-15T06:43:06Z, 59, NTP, Adjust, -10
2018-08-15T11:16:10Z, 58, NTP, Adjust, -5
2018-08-15T15:49:18Z, 60, NTP, Adjust, 10
2018-08-15T20:43:50Z, 60, NTP, Adjust, -5
2018-08-16T01:16:54Z, 59, NTP, Adjust, -5
2018-08-16T05:49:57Z, 59, NTP, Adjust, -5
2018-08-16T14:34:42Z, 58, NTP, Adjust, 10
2018-08-16T19:07:47Z, 59, NTP, Adjust, 15
2018-08-16T23:40:46Z, 64, NTP, Adjust, 5
2018-08-17T04:13:54Z, 60, NTP, Adjust, -15
2018-08-17T08:46:55Z, 60, NTP, Adjust, -5
2018-08-17T17:53:02Z, 60, NTP, Adjust, -5
2018-08-17T22:26:05Z, 62, NTP, Adjust, 5
2018-08-18T02:59:10Z, 62, NTP, Adjust, 5
2018-08-18T07:32:15Z, 61, NTP, Adjust, -5
2018-08-18T16:38:24Z, 60, NTP, Adjust, 5
2018-08-18T21:11:30Z, 62, NTP, Adjust, -5
2018-08-19T01:44:34Z, 62, NTP, Adjust, -5
2018-08-19T06:17:39Z, 61, NTP, Adjust, -5
